city,data,PM10,PM2.5,O3,NO2
Bioggio,15.01.2007 00:00,48.0,,,45.0
Bioggio,15.02.2007 00:00,53.0,,,52.0
Bioggio,15.03.2007 00:00,33.0,,,36.0
Bioggio,15.04.2007 01:00,43.0,,96.0,40.0
Bioggio,15.05.2007 01:00,23.0,,81.0,26.0
Bioggio,15.06.2007 01:00,22.0,,64.0,22.0
Bioggio,15.07.2007 01:00,24.0,,144.0,32.0
Bioggio,15.08.2007 01:00,20.0,,72.0,25.0
Bioggio,15.09.2007 01:00,25.0,,23.0,32.0
Bioggio,15.10.2007 01:00,39.0,,,32.0
Bioggio,15.11.2007 00:00,37.0,,,40.0
Bioggio,15.12.2007 00:00,53.0,,,56.0
Bioggio,15.01.2008 00:00,47.0,,,56.0
Bioggio,15.02.2008 00:00,74.0,,,60.0
Bioggio,15.03.2008 00:00,26.0,,,33.0
Bioggio,15.04.2008 01:00,17.0,,30.0,29.0
Bioggio,15.05.2008 01:00,21.0,,63.0,26.0
Bioggio,15.06.2008 01:00,21.0,,100.0,22.0
Bioggio,15.07.2008 01:00,20.0,,114.0,26.0
Bioggio,15.08.2008 01:00,20.0,,95.0,25.0
Bioggio,15.09.2008 01:00,24.0,,3.0,30.0
Bioggio,15.10.2008 01:00,37.0,,,37.0
Bioggio,15.11.2008 00:00,28.0,,,36.0
Bioggio,15.12.2008 00:00,34.0,,,51.0
Bioggio,15.01.2009 00:00,47.0,,,58.0
Bioggio,15.02.2009 00:00,38.0,,,47.0
Bioggio,15.03.2009 00:00,28.0,,,35.0
Bioggio,15.04.2009 01:00,22.0,,17.0,33.0
Bioggio,15.05.2009 01:00,25.0,,117.0,27.0
Bioggio,15.06.2009 01:00,20.0,,117.0,
Bioggio,15.07.2009 01:00,20.0,,140.0,29.0
Bioggio,15.08.2009 01:00,21.0,,88.0,25.0
Bioggio,15.09.2009 01:00,23.0,,29.0,30.0
Bioggio,15.10.2009 01:00,30.0,,1.0,37.0
Bioggio,15.11.2009 00:00,41.0,,,41.0
Bioggio,15.12.2009 00:00,36.0,,,53.0
Bioggio,15.01.2010 00:00,55.0,,,57.0
Bioggio,15.02.2010 00:00,42.0,,,50.0
Bioggio,15.03.2010 00:00,29.0,,,36.0
Bioggio,15.04.2010 01:00,25.0,,67.0,34.0
Bioggio,15.05.2010 01:00,16.0,,43.0,21.0
Bioggio,15.06.2010 01:00,21.0,,125.0,22.0
Bioggio,15.07.2010 01:00,24.0,,192.0,25.0
Bioggio,15.08.2010 01:00,18.0,,54.0,25.0
Bioggio,15.09.2010 01:00,19.0,,32.0,33.0
Bioggio,15.10.2010 01:00,33.0,,,36.0
Bioggio,15.11.2010 00:00,22.0,,,34.0
Bioggio,15.12.2010 00:00,32.0,,,52.0
Bioggio,15.01.2011 00:00,52.0,,,54.0
Bioggio,15.02.2011 00:00,57.0,,,56.0
Bioggio,15.03.2011 00:00,36.0,,6.0,41.0
Bioggio,15.04.2011 01:00,30.0,,84.0,37.0
Bioggio,15.05.2011 01:00,24.0,,143.0,31.0
Bioggio,15.06.2011 01:00,18.0,,67.0,24.0
Bioggio,15.07.2011 01:00,17.0,,80.0,24.0
Bioggio,15.08.2011 01:00,22.0,,110.0,30.0
Bioggio,15.09.2011 01:00,26.0,,74.0,35.0
Bioggio,15.10.2011 01:00,31.0,,19.0,38.0
Bioggio,15.11.2011 00:00,41.0,,,49.0
Bioggio,15.12.2011 00:00,36.0,,,50.0
Bioggio,15.01.2012 00:00,44.0,,,54.0
Bioggio,15.02.2012 00:00,62.0,,,62.0
Bioggio,15.03.2012 00:00,44.0,,1.0,43.0
Bioggio,15.04.2012 01:00,18.0,,7.0,25.0
Bioggio,15.05.2012 01:00,19.0,,51.0,23.0
Bioggio,15.06.2012 01:00,24.0,,64.0,23.0
Bioggio,15.07.2012 01:00,23.0,,92.0,24.0
Bioggio,15.08.2012 01:00,23.0,,146.0,25.0
Bioggio,15.09.2012 01:00,22.0,,33.0,31.0
Bioggio,15.10.2012 01:00,29.0,,,33.0
Bioggio,15.11.2012 00:00,30.0,,,40.0
Bioggio,15.12.2012 00:00,33.0,,,56.0
Bioggio,15.01.2013 00:00,45.0,,,53.0
Bioggio,15.02.2013 00:00,39.0,,,47.0
Bioggio,15.03.2013 00:00,32.0,,,37.0
Bioggio,15.04.2013 01:00,24.0,,62.0,30.0
Bioggio,15.05.2013 01:00,15.0,,20.0,20.0
Bioggio,15.06.2013 01:00,20.0,,127.0,21.0
Bioggio,15.07.2013 01:00,23.0,,256.0,26.0
Bioggio,15.08.2013 01:00,17.0,,147.0,26.0
Bioggio,15.09.2013 01:00,20.0,,47.0,33.0
Bioggio,15.10.2013 01:00,26.0,,,30.0
Bioggio,15.11.2013 00:00,21.0,,,37.0
Bioggio,15.12.2013 00:00,33.0,,,61.0
Bioggio,15.01.2014 00:00,27.0,,,51.0
Bioggio,15.02.2014 00:00,20.0,,,43.0
Bioggio,15.03.2014 00:00,31.0,,18.0,37.0
Bioggio,15.04.2014 01:00,25.0,,37.0,31.0
Bioggio,15.05.2014 01:00,16.0,,76.0,24.0
Bioggio,15.06.2014 01:00,18.0,,151.0,22.0
Bioggio,15.07.2014 01:00,17.0,,84.0,25.0
Bioggio,15.08.2014 01:00,16.0,,27.0,22.0
Bioggio,15.09.2014 01:00,23.0,,25.0,30.0
Bioggio,15.10.2014 01:00,29.0,,,31.0
Bioggio,15.11.2014 00:00,21.0,,,37.0
Bioggio,15.12.2014 00:00,26.0,,,41.0
Bioggio,15.01.2015 00:00,31.0,,,51.0
Bioggio,15.02.2015 00:00,33.0,,,48.0
Bioggio,15.03.2015 00:00,37.0,,,36.0
Bioggio,15.04.2015 01:00,24.0,,75.0,30.0
Bioggio,15.05.2015 01:00,20.0,,75.0,21.0
Bioggio,15.06.2015 01:00,22.0,,162.0,22.0
Bioggio,15.07.2015 01:00,29.0,,296.0,24.0
Bioggio,15.08.2015 01:00,22.0,,150.0,25.0
Bioggio,15.09.2015 01:00,18.0,,10.0,28.0
Bioggio,15.10.2015 01:00,23.0,,,31.0
Bioggio,15.11.2015 00:00,34.0,,,47.0
Bioggio,15.12.2015 00:00,45.0,,,59.0
Bioggio,15.01.2016 00:00,39.0,,,49.0
Bioggio,15.02.2016 00:00,27.0,,,38.0
Bioggio,15.03.2016 00:00,23.0,,4.0,37.0
Bioggio,15.04.2016 01:00,23.0,,12.0,25.0
Bioggio,15.05.2016 01:00,15.0,,85.0,25.0
Bioggio,15.06.2016 01:00,16.0,,82.0,20.0
Bioggio,15.07.2016 01:00,21.0,,156.0,21.0
Bioggio,15.08.2016 01:00,19.0,,129.0,24.0
Bioggio,15.09.2016 01:00,25.0,,69.0,31.0
Bioggio,15.10.2016 01:00,21.0,,,31.0
Bioggio,15.11.2016 00:00,28.0,21.0,,37.0
Bioggio,15.12.2016 00:00,38.0,27.0,,52.0
Bioggio,15.01.2017 00:00,53.0,39.0,,50.0
Bioggio,15.02.2017 00:00,39.0,31.0,,41.0
Bioggio,15.03.2017 00:00,35.0,24.0,17.0,35.0
Bioggio,15.04.2017 01:00,20.0,12.0,58.0,27.0
Bodio,15.01.2007 00:00,43.0,,,38.0
