city,data,PM10,PM2.5,O3,NO2
Bioggio,01.07.2007 01:00,35.0,,480.0,36.0
Bioggio,01.07.2008 01:00,31.0,,405.0,36.0
Bioggio,01.07.2009 01:00,29.0,,509.0,37.0
Bioggio,01.07.2010 01:00,28.0,,513.0,35.0
Bioggio,01.07.2011 01:00,32.0,,583.0,39.0
Bioggio,01.07.2012 01:00,31.0,,394.0,37.0
Bioggio,01.07.2013 01:00,26.0,,659.0,35.0
Bioggio,01.07.2014 01:00,22.0,,418.0,33.0
Bioggio,01.07.2015 01:00,28.0,,768.0,35.0
Bioggio,01.07.2016 01:00,24.0,,537.0,32.0
Bioggio,01.07.2017 01:00,36.0,26.0,75.0,38.0
Bodio,01.07.2007 01:00,30.0,,404.0,30.0
Bodio,01.07.2008 01:00,27.0,,225.0,31.0
Bodio,01.07.2009 01:00,23.0,,297.0,29.0
Bodio,01.07.2010 01:00,24.0,,335.0,30.0
Bodio,01.07.2011 01:00,25.0,,255.0,32.0
Bodio,01.07.2012 01:00,22.0,,242.0,32.0
Bodio,01.07.2013 01:00,21.0,,328.0,31.0
Bodio,01.07.2014 01:00,19.0,,147.0,29.0
Bodio,01.07.2015 01:00,22.0,,443.0,31.0
Bodio,01.07.2016 01:00,19.0,,179.0,29.0
Bodio,01.07.2017 01:00,24.0,16.0,22.0,33.0
Bione s. Minusio,01.07.2007 01:00,,,353.0,13.0
Bione s. Minusio,01.07.2008 01:00,,,302.0,
Bione s. Minusio,01.07.2009 01:00,15.0,,577.0,11.0
Bione s. Minusio,01.07.2010 01:00,15.0,,648.0,
Bione s. Minusio,01.07.2011 01:00,17.0,,707.0,12.0
Bione s. Minusio,01.07.2012 01:00,16.0,,638.0,12.0
Bione s. Minusio,01.07.2013 01:00,15.0,,659.0,11.0
Bione s. Minusio,01.07.2014 01:00,12.0,,391.0,10.0
Bione s. Minusio,01.07.2015 01:00,14.0,,800.0,11.0
Bione s. Minusio,01.07.2016 01:00,13.0,,541.0,10.0
Bione s. Minusio,01.07.2017 01:00,17.0,,73.0,14.0
Camignolo,01.07.2007 01:00,27.0,17.0,118.0,60.0
Camignolo,01.07.2008 01:00,,,,55.0
Camignolo,01.07.2009 01:00,,,,58.0
Camignolo,01.07.2010 01:00,,,,57.0
Camignolo,01.07.2011 01:00,,,22.0,63.0
Camignolo,01.07.2012 01:00,,,,59.0
Camignolo,01.07.2013 01:00,,,,56.0
Camignolo,01.07.2014 01:00,,,,54.0
Camignolo,01.07.2015 01:00,,,,58.0
Camignolo,01.07.2016 01:00,,,,52.0
Camignolo,01.07.2017 01:00,,,,57.0
Chiasso,01.07.2007 01:00,40.0,,713.0,45.0
Chiasso,01.07.2008 01:00,34.0,,430.0,42.0
Chiasso,01.07.2009 01:00,34.0,,799.0,40.0
Chiasso,01.07.2010 01:00,32.0,,566.0,40.0
Chiasso,01.07.2011 01:00,38.0,,681.0,44.0
Chiasso,01.07.2012 01:00,35.0,,620.0,43.0
Chiasso,01.07.2013 01:00,30.0,,639.0,41.0
Chiasso,01.07.2014 01:00,25.0,,356.0,36.0
Chiasso,01.07.2015 01:00,32.0,,791.0,38.0
Chiasso,01.07.2016 01:00,22.0,,562.0,35.0
Chiasso,01.07.2017 01:00,35.0,29.0,61.0,47.0
Giubiasco,01.07.2007 01:00,,,,
Giubiasco,01.07.2008 01:00,,,,
Giubiasco,01.07.2009 01:00,,,422.0,28.0
Giubiasco,01.07.2010 01:00,28.0,,446.0,29.0
Giubiasco,01.07.2011 01:00,33.0,,360.0,29.0
Giubiasco,01.07.2012 01:00,,,179.0,
Giubiasco,01.07.2013 01:00,21.0,,420.0,26.0
Giubiasco,01.07.2014 01:00,17.0,,234.0,24.0
Giubiasco,01.07.2015 01:00,20.0,,618.0,26.0
Giubiasco,01.07.2016 01:00,18.0,,285.0,24.0
Giubiasco,01.07.2017 01:00,24.0,16.0,40.0,31.0
Locarno,01.07.2007 01:00,,,87.0,35.0
Locarno,01.07.2008 01:00,,,178.0,36.0
Locarno,01.07.2009 01:00,,,179.0,32.0
Locarno,01.07.2010 01:00,,,260.0,32.0
Locarno,01.07.2011 01:00,,,208.0,33.0
Locarno,01.07.2012 01:00,,,226.0,32.0
Locarno,01.07.2013 01:00,,,262.0,32.0
Locarno,01.07.2014 01:00,16.0,,291.0,27.0
Locarno,01.07.2015 01:00,19.0,,671.0,29.0
Locarno,01.07.2016 01:00,17.0,,341.0,26.0
Locarno,01.07.2017 01:00,24.0,,56.0,33.0
Lugano,01.07.2007 01:00,27.0,,804.0,35.0
Lugano,01.07.2008 01:00,25.0,,540.0,34.0
Lugano,01.07.2009 01:00,22.0,,651.0,32.0
Lugano,01.07.2010 01:00,21.0,,652.0,33.0
Lugano,01.07.2011 01:00,21.0,,683.0,34.0
Lugano,01.07.2012 01:00,21.0,,668.0,32.0
Lugano,01.07.2013 01:00,18.0,,707.0,31.0
Lugano,01.07.2014 01:00,15.0,,366.0,29.0
Lugano,01.07.2015 01:00,18.0,,804.0,30.0
Lugano,01.07.2016 01:00,16.0,,550.0,28.0
Lugano,01.07.2017 01:00,24.0,,45.0,36.0
Magadino,01.07.2007 01:00,26.0,,607.0,22.0
Magadino,01.07.2008 01:00,23.0,,416.0,22.0
Magadino,01.07.2009 01:00,21.0,,433.0,21.0
Magadino,01.07.2010 01:00,19.0,,527.0,21.0
Magadino,01.07.2011 01:00,24.0,,540.0,21.0
Magadino,01.07.2012 01:00,21.0,,432.0,20.0
Magadino,01.07.2013 01:00,19.0,,494.0,19.0
Magadino,01.07.2014 01:00,15.0,,259.0,18.0
Magadino,01.07.2015 01:00,19.0,,596.0,20.0
Magadino,01.07.2016 01:00,15.0,,363.0,18.0
Magadino,01.07.2017 01:00,22.0,,65.0,24.0
Mendrisio,01.07.2007 01:00,,,366.0,
Mendrisio,01.07.2008 01:00,,,421.0,
Mendrisio,01.07.2009 01:00,33.0,,820.0,44.0
Mendrisio,01.07.2010 01:00,30.0,,660.0,44.0
Mendrisio,01.07.2011 01:00,36.0,,779.0,47.0
Mendrisio,01.07.2012 01:00,33.0,,725.0,47.0
Mendrisio,01.07.2013 01:00,29.0,,711.0,46.0
Mendrisio,01.07.2014 01:00,24.0,,488.0,42.0
Mendrisio,01.07.2015 01:00,30.0,,856.0,45.0
Mendrisio,01.07.2016 01:00,24.0,,610.0,39.0
Mendrisio,01.07.2017 01:00,37.0,29.0,57.0,45.0
Pregassona,01.07.2007 01:00,27.0,,750.0,26.0
Pregassona,01.07.2008 01:00,24.0,,515.0,28.0
Pregassona,01.07.2009 01:00,24.0,,661.0,25.0
Pregassona,01.07.2010 01:00,23.0,,607.0,26.0
Pregassona,01.07.2011 01:00,23.0,,653.0,26.0
Pregassona,01.07.2012 01:00,24.0,,599.0,26.0
Pregassona,01.07.2013 01:00,22.0,,612.0,27.0
Pregassona,01.07.2014 01:00,19.0,,317.0,25.0
Pregassona,01.07.2015 01:00,22.0,,703.0,27.0
Pregassona,01.07.2016 01:00,,,440.0,25.0
Pregassona,01.07.2017 01:00,29.0,,33.0,32.0
San Vittore,01.07.2007 01:00,29.0,,,19.0
San Vittore,01.07.2008 01:00,28.0,,,20.0
San Vittore,01.07.2009 01:00,28.0,,,20.0
San Vittore,01.07.2010 01:00,26.0,,,21.0
San Vittore,01.07.2011 01:00,27.0,,,18.0
San Vittore,01.07.2012 01:00,26.0,,,15.0
San Vittore,01.07.2013 01:00,23.0,,,18.0
San Vittore,01.07.2014 01:00,20.0,,,15.0
San Vittore,01.07.2015 01:00,25.0,,,18.0
San Vittore,01.07.2016 01:00,22.0,,,15.0
San Vittore,01.07.2017 01:00,29.0,,,21.0
Vezia,01.07.2007 01:00,26.0,,,32.0
Vezia,01.07.2008 01:00,25.0,,1.0,31.0
Vezia,01.07.2009 01:00,26.0,,475.0,33.0
Vezia,01.07.2010 01:00,26.0,,449.0,33.0
Vezia,01.07.2011 01:00,28.0,,,35.0
Vezia,01.07.2012 01:00,25.0,,,31.0
Vezia,01.07.2013 01:00,22.0,,,28.0
Vezia,01.07.2014 01:00,20.0,,,26.0
Vezia,01.07.2015 01:00,25.0,,,33.0
Vezia,01.07.2016 01:00,20.0,,,30.0
Vezia,01.07.2017 01:00,29.0,,,35.0
